uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,subsampleID,subsampleCode,taxonID,scientificName,sex,testingID,testingIDCode,archiveID,archiveIDCode,individualIDList
"649a3f6f-435e-4622-9483-decf7d2b3768","ABBY_040.mosquitoPoint.mos","D16","ABBY","ABBY_040","2023-07-20T00:03Z","2023-07-20T14:08Z","ABBY_040.20230720.0708.S.01",,"AEDSIE","Aedes sierrensis","M",,,"ABBY.2023.29.AEDSIE.M.A",,
"2a5a2647-c247-45cd-842a-24dd4bff7cd5","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-07-20T00:23Z","2023-07-20T13:55Z","ABBY_032.20230720.0655.S.01",,"CULINC","Culiseta incidens","F",,,"ABBY.2023.29.CULINC.F.A",,
"b365cd81-dc3d-4ba9-b614-a4220b451429","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-07-20T00:23Z","2023-07-20T13:55Z","ABBY_032.20230720.0655.S.01",,"CULTAR","Culex tarsalis","F",,,"ABBY.2023.29.CULTAR.F.A",,
"9d76f026-27ca-4e0f-87a0-9557c9a60d70","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-07-20T00:35Z","2023-07-20T13:16Z","ABBY_038.20230720.0616.S.01",,"AEDSIE","Aedes sierrensis","M",,,"ABBY.2023.29.AEDSIE.M.A",,
"bf0447cb-57d7-491b-8b83-392ab3fddb57","ABBY_038.mosquitoPoint.mos","D16","ABBY","ABBY_038","2023-07-20T00:35Z","2023-07-20T13:16Z","ABBY_038.20230720.0616.S.01",,"CULTAR","Culex tarsalis","F",,,"ABBY.2023.29.CULTAR.F.A",,
"12ccd3b6-74ec-4c21-a359-b162b858b9c4","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-07-20T00:47Z","2023-07-20T13:39Z","ABBY_034.20230720.0639.S.01",,"AEDSIE","Aedes sierrensis","M",,,"ABBY.2023.29.AEDSIE.M.A",,
"51337f63-c7ef-49d1-a785-d8248a3323b7","ABBY_034.mosquitoPoint.mos","D16","ABBY","ABBY_034","2023-07-20T00:47Z","2023-07-20T13:39Z","ABBY_034.20230720.0639.S.01",,"CULINC","Culiseta incidens","F",,,"ABBY.2023.29.CULINC.F.A",,
"e40aacf1-aa25-4c61-a174-9561ca1a9c89","ABBY_035.mosquitoPoint.mos","D16","ABBY","ABBY_035","2023-07-20T01:45Z","2023-07-20T16:11Z","ABBY_035.20230720.0911.S.01",,"CULTAR","Culex tarsalis","F",,,"ABBY.2023.29.CULTAR.F.A",,"MOS.D16.000156"
"2a0d5fb6-96ec-4bc3-9eeb-a55de2efa3f1","ABBY_036.mosquitoPoint.mos","D16","ABBY","ABBY_036","2023-07-20T01:59Z","2023-07-20T15:51Z","ABBY_036.20230720.0851.S.01",,"CULTAR","Culex tarsalis","F",,,"ABBY.2023.29.CULTAR.F.A",,
"b124c5d2-9fb2-4406-9d43-cb563638cbe7","ABBY_037.mosquitoPoint.mos","D16","ABBY","ABBY_037","2023-07-20T02:14Z","2023-07-20T15:35Z","ABBY_037.20230720.0835.S.01",,"CULTAR","Culex tarsalis","F",,,"ABBY.2023.29.CULTAR.F.A",,
"69fac76b-c6a7-4556-a9a3-8fb008870dd5","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-07-20T02:27Z","2023-07-20T15:16Z","ABBY_031.20230720.0816.S.01",,"CULINO","Culiseta inornata","F",,,"ABBY.2023.29.CULINO.F.A",,
"f69de113-5c79-40cb-97a8-d1bc4582f1ef","ABBY_031.mosquitoPoint.mos","D16","ABBY","ABBY_031","2023-07-20T02:27Z","2023-07-20T15:16Z","ABBY_031.20230720.0816.S.01",,"CULTAR","Culex tarsalis","F",,,"ABBY.2023.29.CULTAR.F.A",,
"eb717cdb-a2c9-4d86-8df7-51bd2ddb9978","ABBY_032.mosquitoPoint.mos","D16","ABBY","ABBY_032","2023-07-20T13:54Z","2023-07-21T02:08Z","ABBY_032.20230720.1908.S.01",,"CULINO","Culiseta inornata","F",,,"ABBY.2023.29.CULINO.F.A",,
